Writer,Content,Date,Like,Tag,Comments,Url
youkhino,[],4-3,59.4K,"['#선생님', '#뉴스의신', '#뉴스의신신아나', '#fypc_']",362,https://www.tiktok.com/@youkhino/video/7217744695152217345?q=%EA%B5%90%EC%9C%A1
minyoongi4442,[],2022-6-29,115.1K,"['#스푸닝', '#어머니사랑해요', '#추천', '#추천가자', '#fyp']",1014,https://www.tiktok.com/@minyoongi4442/video/7114613636831759618?q=%EA%B5%90%EC%9C%A1
shortsmile_official,[],7-18,5134,"['#웃긴영상', '#코미디', '#훈련', '#웃음참기']",8,https://www.tiktok.com/@shortsmile_official/video/7257018598420434184?q=%EA%B5%90%EC%9C%A1
mbcdaejeon,[],2021-8-13,4843,"['#육아', '#아이', '#부모', '#어른', '#성장', '#미성숙', '#스미다', '#사색의공동체', '#KOREA', '#parent']",84,https://www.tiktok.com/@mbcdaejeon/video/6993169701438246146?q=%EA%B5%90%EC%9C%A1
huick_alpa,[],9-4,7835,"['#shorts', '#휙알파', '#서이초', '#공교육멈춤의날']",170,https://www.tiktok.com/@huick_alpa/video/7274889061985160466?q=%EA%B5%90%EC%9C%A1
ccds_doctors,[],4-18,652,"['#이선화', '#연세삼성정신건강의학과', '#정신과의사', '#상담']",17,https://www.tiktok.com/@ccds_doctors/video/7223329424849030401?q=%EA%B5%90%EC%9C%A1
boseoki4990,[],7-2,11.3K,"['#재미', '#꿀팁']",607,https://www.tiktok.com/@boseoki4990/video/7251073119945854210?q=%EA%B5%90%EC%9C%A1
mmm33618863,[],19시간 전,134,"['#탄핵', '#윤석열', '#검찰개혁']",14,https://www.tiktok.com/@mmm33618863/video/7308313978910952706?q=%EA%B5%90%EC%9C%A1
atelier_macaron,[],2021-12-17,21.3K,"['#틱톡교실', '#틱톡쌤', '#메이저스', '#틱톡교육']",135,https://www.tiktok.com/@atelier_macaron/video/7042605946455198978?q=%EA%B5%90%EC%9C%A1
sso_dal,[],11-21,128.5K,"['#허성범', '#카이스트', '#본인외모10만점', '#대학전쟁', '#추천', '#fyp']",567,https://www.tiktok.com/@sso_dal/video/7303584313734384904?q=%EA%B5%90%EC%9C%A1
seahssam,[],2022-4-10,120.1K,"['#세아쌤', '#seahssam']",1034,https://www.tiktok.com/@seahssam/video/7084843548369112321?q=%EA%B5%90%EC%9C%A1
bunhong_bam,[],2022-8-26,16.9K,"['#아이들', '#gidle', '#tomboy', '#spongebob']",197,https://www.tiktok.com/@bunhong_bam/video/7136106744484334849?q=%EA%B5%90%EC%9C%A1
cuz_im_real_jo,[],2022-5-24,52.8K,['#이어찍기'],162,https://www.tiktok.com/@cuz_im_real_jo/video/7101185089794542849?q=%EA%B5%90%EC%9C%A1
user5932548735758,[],9-15,31.5K,"['#오랜만이에요', '#루디고go', '#asmr', '#추천', '#추천떠라_추천', '#다음편있음', '#루대숲']",552,https://www.tiktok.com/@user5932548735758/video/7279014341150543111?q=%EA%B5%90%EC%9C%A1
phor_sophen99,[],21시간 전,486,"['#រៀនកូរ៉េខ្លីៗ', '#한국어공부', '#사회통합프로그램', '#khmerinkorea', '#mrrphen']",14,https://www.tiktok.com/@phor_sophen99/video/7308287246497565960?q=%EA%B5%90%EC%9C%A1
rlasks1222,[],10-20,541,"['#난쌤', '#틱톡추천', '#성교육강사난쌤', '#틱톡쌤', '#틱톡건강교실']",37,https://www.tiktok.com/@rlasks1222/video/7291928200723352834?q=%EA%B5%90%EC%9C%A1
lavenderx9,[],5-14,150.4K,"['#blmanhwa', '#manhwabl', '#mangaedit', '#blmanhwarecommendation']",1567,https://www.tiktok.com/@lavenderx9/video/7232698660130147611?q=%EA%B5%90%EC%9C%A1
atelier_macaron,[],2022-3-8,107.6K,"['#틱톡교실', '#틱톡쌤', '#메이저스', '#그림', '#드로잉']",1159,https://www.tiktok.com/@atelier_macaron/video/7072573702558338306?q=%EA%B5%90%EC%9C%A1
murin_104,[],2020-5-5,10.8K,"['#おすすめ', '#推荐', '#fyp', '#recommandation']",328,https://www.tiktok.com/@murin_104/video/6823192689266248962?q=%EA%B5%90%EC%9C%A1
viamallvvv2.top,[],7-20,443,"['#커플', '#영상', '#성생활', '#부부', '#영양제', '#비아그라', '#40대연애']",5,https://www.tiktok.com/@viamallvvv2.top/video/7257728641914785025?q=%EA%B5%90%EC%9C%A1
hschai0021,[],2022-9-12,6401,"['#필기', '#수업']",196,https://www.tiktok.com/@hschai0021/video/7142171137852722434?q=%EA%B5%90%EC%9C%A1
mnbvcx900223,[],9-1,30.5K,"['#학생', '#어린이', '#일상']",270,https://www.tiktok.com/@mnbvcx900223/video/7273658544342322434?q=%EA%B5%90%EC%9C%A1
howlinggggg,[],2021-2-8,14.7K,[],223,https://www.tiktok.com/@howlinggggg/video/6926538737283271938?q=%EA%B5%90%EC%9C%A1
korgirlse,[],9-13,10.5K,[],208,https://www.tiktok.com/@korgirlse/video/7278173852432190728?q=%EA%B5%90%EC%9C%A1
erai_sin,[],2021-3-15,224.9K,"['#추천', '#병맛', '#학교폭력', '#에라이']",2060,https://www.tiktok.com/@erai_sin/video/6939796949201702145?q=%EA%B5%90%EC%9C%A1
messyoung2,[],2022-9-17,58.6K,"['#싸이코패스테스트', '#소름']",2048,https://www.tiktok.com/@messyoung2/video/7144311428554525953?q=%EA%B5%90%EC%9C%A1
howstudio_,[],2-9,60.2K,"['#틱톡순삭', '#fyp']",2970,https://www.tiktok.com/@howstudio_/video/7198133016793828609?q=%EA%B5%90%EC%9C%A1
jjh1234567890,[],2022-6-16,26.1K,"['#자녀교육', '#교육', '#부자', '#자수성가', '#훈육법', '#자기계발영상', '#자기계발서', '#육아', '#육아교육']",73,https://www.tiktok.com/@jjh1234567890/video/7109814816369364226?q=%EA%B5%90%EC%9C%A1
joonnam527,[],8-19,36K,[],172,https://www.tiktok.com/@joonnam527/video/7268963640974298375?q=%EA%B5%90%EC%9C%A1
userfalasolclarinet,[],,7446,['#파라솔발달장애클라리넷앙상블'],191,https://www.tiktok.com/@userfalasolclarinet/video/7272862243191082242?q=%EA%B5%90%EC%9C%A1
zisik_cat,[],2022-4-17,54.8K,"['#틱톡쌤', '#틱톡교육', '#틱톡교실']",866,https://www.tiktok.com/@zisik_cat/video/7087428887633792258?q=%EA%B5%90%EC%9C%A1
ranking1min5,[],2022-9-26,1180,"['#학업', '#주입식교육', '#랭킹쇼']",67,https://www.tiktok.com/@ranking1min5/video/7147618260064668929?q=%EA%B5%90%EC%9C%A1
