Writer,Content,Date,Like,Tag,Comments,Url
office_worker5,[],4-6,54.3K,"['#배민', '#레전드', '#웃긴영상', '#웃긴짤', '#유머']",479,https://www.tiktok.com/@office_worker5/video/7218792673166019842?q=%EC%9C%A0%EB%A8%B8
today.healing,[],17시간 전,1056,"['#유머', '#놀아줘', '#짤', '#짤방', '#예능', '#웃긴영상', '#웃긴동영상']",9,https://www.tiktok.com/@today.healing/video/7308352640558124289?q=%EC%9C%A0%EB%A8%B8
userzmppzecns1,[],2022-6-24,19.3K,"['#꿀잼', '#시간순삭', '#웃긴영상', '#유머', '#썰']",164,https://www.tiktok.com/@userzmppzecns1/video/7112683091033853185?q=%EC%9C%A0%EB%A8%B8
_giyomi_cutie,[],7-17,2464,"['#유머영상', '#유머모음', '#웃긴동영상', '#재미있는영상']",186,https://www.tiktok.com/@_giyomi_cutie/video/7256709201114762498?q=%EC%9C%A0%EB%A8%B8
humor_checkit,[],8-31,9954,"['#shorts', '#꿀잼', '#유머']",24,https://www.tiktok.com/@humor_checkit/video/7272207903438671105?q=%EC%9C%A0%EB%A8%B8
wow1199_,[],11-13,10.5K,"['#항마력테스트', '#안본눈삽니다', '#유#유머']",284,https://www.tiktok.com/@wow1199_/video/7300951267516386561?q=%EC%9C%A0%EB%A8%B8
banyeosa78901,[],9-6,17.3K,"['#유머', '#유머짤', '#oodt', '#africa', '#lol']",109,https://www.tiktok.com/@banyeosa78901/video/7275385724361280775?q=%EC%9C%A0%EB%A8%B8
beauty.fo_ol,[],8-14,113.4K,['#홍유경'],367,https://www.tiktok.com/@beauty.fo_ol/video/7267085341285158146?q=%EC%9C%A0%EB%A8%B8
shortsinfluencer,[],8-28,38K,"['#틱톡코미디', '#코미디영상', '#웃긴영상', '#거미춤']",633,https://www.tiktok.com/@shortsinfluencer/video/7270691588836166913?q=%EC%9C%A0%EB%A8%B8
kellyfornia_99,[],7-8,25K,"['#김켈리', '#코미디']",121,https://www.tiktok.com/@kellyfornia_99/video/7253298118832180481?q=%EC%9C%A0%EB%A8%B8
user3203925137810,[],6-8,79K,"['#무당', '#몰래카메라', '#숏츠', '#짤', '#오늘의유머', '#재미있는영상', '#개그맨', '#유머짤']",400,https://www.tiktok.com/@user3203925137810/video/7242265774973390098?q=%EC%9C%A0%EB%A8%B8
lulu.tving,[],8-6,62K,"['#인싸', '#셀럽', '#유머', '#유머영상', '#유머레전드', '#예능영상', '#웃긴영상모음', '#도도티비', '#도도유머', '#유머짤']",334,https://www.tiktok.com/@lulu.tving/video/7264175793922739457?q=%EC%9C%A0%EB%A8%B8
tomato_humor_,[],7-5,117.8K,"['#재미있는영상', '#밈밈', '#병맛', '#웃긴짤모음', '#유머저장소', '#웃긴짤', '#이것저것올림']",2068,https://www.tiktok.com/@tomato_humor_/video/7252250980954180871?q=%EC%9C%A0%EB%A8%B8
glam_app,[],2022-7-3,30.6K,"['#힘순찐', '#글램', '#추천떠라', '#fyp', '#힘순찐챌린지', '#유튜브', '#극락']",169,https://www.tiktok.com/@glam_app/video/7116094643158158594?q=%EC%9C%A0%EB%A8%B8
